digits,num1,num2,sum,question,question_en
2,20,64,84,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:20+64","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 20 + 64"
2,43,25,68,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:43+25","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 43 + 25"
2,28,11,39,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:28+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 28 + 11"
2,10,23,33,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:10+23","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 10 + 23"
2,48,50,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:48+50","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 48 + 50"
2,48,40,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:48+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 48 + 40"
2,89,10,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:89+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 89 + 10"
2,36,32,68,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:36+32","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 36 + 32"
2,33,30,63,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:33+30","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 33 + 30"
2,26,12,38,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:26+12","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 26 + 12"
2,69,20,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:69+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 69 + 20"
2,88,11,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:88+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 88 + 11"
2,28,31,59,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:28+31","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 28 + 31"
2,41,13,54,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:41+13","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 41 + 13"
2,51,21,72,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:51+21","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 51 + 21"
2,74,25,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:74+25","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 74 + 25"
2,62,25,87,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:62+25","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 62 + 25"
2,44,14,58,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:44+14","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 44 + 14"
2,38,60,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:38+60","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 38 + 60"
2,37,41,78,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:37+41","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 37 + 41"
2,45,11,56,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:45+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 45 + 11"
